            title            
-----------------------------
 ALICE FANTASIA
 SABRINA MIDNIGHT
 SALUTE APOLLO
 SATURN NAME
 SEARCHERS WAIT
 SHINING ROSES
 SHOCK CABIN
 SHRUNK DIVINE
 SILENCE KANE
 SISTER FREDDY
 SLACKER LIAISONS
 SLEEPLESS MONSOON
 SOLDIERS EVOLUTION
 SPICE SORORITY
 SPIKING ELEMENT
 SPLASH GUMP
 SPLENDOR PATTON
 SPOILERS HELLFIGHTERS
 SPY MILE
 STATE WASTELAND
 STEERS ARMAGEDDON
 STORM HAPPINESS
 STORY SIDE
 STRANGERS GRAFFITI
 STREAK RIDGEMONT
 SUGAR WONKA
 SUN CONFESSIONS
 SUPER WYOMING
 SWEETHEARTS SUSPECTS
 TEEN APOLLO
 TELEMARK HEARTBREAKERS
 TERMINATOR CLUB
 TIGHTS DAWN
 TITANIC BOONDOCK
 TRACY CIDER
 TRADING PINOCCHIO
 TREASURE COMMAND
 TREATMENT JEKYLL
 TROUBLE DATE
 UNCUT SUICIDES
 UNFORGIVEN ZOOLANDER
 UPRISING UPTOWN
 USUAL UNTOUCHABLES
 VALENTINE VANISHING
 VANISHING ROCKY
 VICTORY ACADEMY
 VIRGIN DAISY
 VOLCANO TEXAS
 WAKE JAWS
 WALLS ARTIST
 WASTELAND DIVINE
 WATCH TRACY
 WEEKEND PERSONAL
 WEREWOLF LOLA
 WILD APOLLO
 WILLOW TRACY
 WORKER TARZAN
 WORLD LEATHERNECKS
 WRONG BEHAVIOR
 YOUNG LANGUAGE
 YOUTH KICK
 ZORRO ARK
(261 rows)

